"","Day","S","E","I","R"
"1",1,100527.170343417,54.0929698531957,11952.2420171936,-12533.5053304637
"2",2,98200.2161560316,98.8607269122544,21032.6746288581,-19331.7515118019
"3",3,98221.0733987615,135.972147086667,28534.6640179834,-26891.7095638316
"4",4,100592.164376116,166.797377356291,34402.03015486,-35160.991908332
"5",5,102615.398568645,192.46136851962,39710.7438505167,-42518.6037876812
"6",6,102300.355882404,213.887796862776,43974.4128375928,-46488.6565168595
"7",7,103539.380136841,231.835105640126,47601.0444241404,-51372.2596666219
"8",8,99830.2078169095,246.926083875368,50388.2073724381,-50465.3412732231
"9",9,98222.1944212978,259.672143873313,53255.0700164107,-51736.9365815818
"10",10,94481.5009091621,270.493249346531,55071.601124658,-49823.5952831666
"11",11,96975.5870185785,279.734274603687,56819.8443148763,-54075.1656080586
"12",12,99748.446106302,287.678434837255,58433.0396552091,-58469.1641963484
"13",13,99714.071840987,294.558312512803,59782.2364844057,-59790.8666379055
"14",14,98818.8812751154,300.564910579462,60628.8499853108,-59748.2961710056
"15",15,101942.276321627,305.855085923298,61814.0598613192,-64062.1912688694
"16",16,100623.413294578,310.557653096054,62736.7262359173,-63670.6971835918
"17",17,100646.431847848,314.778396357113,63696.6354678432,-64657.8457120485
"18",18,101401.649143738,318.604185410679,64054.9941354303,-65775.2474645787
"19",19,100095.996594207,322.106355220405,65020.4628340097,-65438.5657834371
"20",20,98203.4766466735,325.34348156224,66167.6434567892,-64696.463585025
"21",21,100573.872185987,328.363660404457,66614.385723145,-67516.6215695361
"22",22,98430.3951429255,331.206379856482,66804.8639393124,-65566.4654620944
"23",23,100401.787094078,333.904057547056,67318.2575263965,-68053.9486780219
"24",24,93539.5966805694,336.48330325554,68051.2764301321,-61927.356413957
"25",25,92709.5618112539,338.965955917704,68622.3163964331,-61670.8441636046
"26",26,94267.9699198709,341.369935340831,69127.6340152148,-63736.9738704266
"27",27,96997.8452256474,343.709941749072,69658.1229042879,-66999.6780716844
"28",28,96539.62746593,345.998030356945,70168.5801311627,-67054.2056274497
"29",29,100070.019348738,348.244083305703,70875.9533750916,-71294.2168071353
"30",30,96547.2941431913,350.456197303984,71204.4367956667,-68102.187136162
"31",31,97408.613142328,352.641002035261,71269.453946382,-69030.7080907453
"32",32,99063.4745214594,354.803921702086,71601.5679315219,-71019.8463746834
"33",33,98714.4836152623,356.949389866091,72007.7999037467,-71079.232908875
"34",34,97768.7690845296,359.081025927104,72795.0794506419,-70922.9295610986
"35",35,96910.4105875713,361.201780093683,73538.3935788714,-70810.0059465363
"36",36,96129.6362763602,363.314052472927,73920.1843345398,-70413.1346633729
"37",37,96810.8798357973,365.419790901854,74403.764611631,-71580.0642383301
"38",38,94887.1388586654,367.520571316785,74730.6628568627,-69985.3222868448
"39",39,96254.2869662799,369.617663778981,75196.4829041068,-71820.3875341656
"40",40,95327.2722817701,371.712086717721,75475.4385678479,-71174.4229363357
"41",41,93053.4147021895,373.804651494548,75796.1463565828,-69223.3657102669
"42",42,90310.4491877546,375.89599901669,75973.7756235542,-66660.1208103255
"43",43,93132.503055224,377.986629819027,76388.8601730948,-69899.3498581379
"44",44,94207.8860571562,380.076928780539,76928.4530658084,-71516.4160517452
"45",45,95911.3165292927,382.167185432974,77295.3954647911,-73588.8791795168
"46",46,96224.0841489209,384.257610648451,77769.7041582338,-74378.0459178032
"47",47,92711.9978367777,386.348350352309,78152.1148459776,-71250.4610331076
"48",48,94833.4753958833,388.439496792084,78408.6051216176,-73630.5200142931
"49",49,95006.4060049192,390.53109779877,79141.478976049,-74538.416078767
"50",50,98886.681553467,392.623164398654,79647.0222203868,-78926.3269382525
"51",51,97752.5678690878,394.715677070078,79714.4427472033,-77861.7262933611
"52",52,97293.2993180006,396.808590886958,80616.1505494299,-78306.2584583174
"53",53,94561.0876834728,398.901839747715,81312.7159863543,-76272.7055095749
"54",54,95456.4384136572,400.995339852864,81467.3137187496,-77324.7474722597
"55",55,93179.2294496485,403.088992565348,81810.1376624429,-75392.4561046567
"56",56,95290.6755043276,405.182686763809,82187.2150917,-77883.0732827914
"57",57,97280.9548215857,407.276300779317,81984.6349498013,-79672.8660721663
"58",58,97629.3311332919,409.369703989945,82196.2530728089,-80234.9539100908
"59",59,96154.0007350141,411.4627581343,82966.122408183,-79531.5859013314
"60",60,93767.472376249,413.55531839423,83739.0323817991,-77920.0600764423
"61",61,93996.3329535209,415.647234287977,84115.6581418876,-78527.6383296965
"62",62,95738.5598444802,417.738350407667,84666.7600957226,-80823.0582906104
"63",63,96380.1521256296,419.828507029017,84644.3507693074,-81444.3314019661
"64",64,96602.1509598109,421.917540616144,85542.8442767295,-82566.9127771565
"65",65,94486.9851007997,424.005284240293,86079.561564392,-80990.551949432
"66",66,93076.3112387508,426.091567927948,86169.798244168,-79672.2010508467
"67",67,90635.6190931989,428.176218951028,86650.3384680695,-77714.1337802194
"68",68,92970.6246248804,430.259062069613,87057.1093007445,-80457.9929876946
"69",69,98048.5765472191,432.339919735783,87360.0249728774,-85840.9414398323
"70",70,100180.664773164,434.418612265623,87731.5214673356,-88346.6048527651
"71",71,98040.4151979177,436.494957985182,88247.8085603371,-86724.7187162399
"72",72,99599.3885792709,438.568773355165,89032.5738164298,-89070.5311690558
"73",73,98267.6206317353,440.639873078261,89315.1510260801,-88023.4115308936
"74",74,95696.884694659,442.708070192325,89969.4397999699,-86109.0325648213
"75",75,92835.1428639606,444.773176152072,90299.8010192487,-83579.7170593614
"76",76,93218.5035124655,446.835000901436,90934.5766723327,-84599.9151856996
"77",77,93246.136969613,448.893352938399,90918.2673868129,-84613.2977093644
"78",78,96306.8068199991,450.948039373743,91805.4865963703,-88563.2414557431
"79",79,96796.3777806611,452.998865984947,91939.8717935567,-89189.2484402028
"80",80,96094.1477426081,455.045637266197,91715.4495936034,-88264.6429734777
"81",81,98533.3969282676,457.088156475347,92122.3731676935,-91112.8582524364
"82",82,103712.901598454,459.126225678483,92849.906727109,-97021.9345512418
"83",83,95697.1433912888,461.159645792649,93495.5773843932,-89653.8804214747
"84",84,97090.6094254889,463.188216627168,93879.0884190023,-91432.8860611183
"85",85,92633.42610383,465.211736923958,94365.5257926319,-87464.1636333858
"86",86,92650.5318041677,467.230004397109,94600.8440856803,-87718.6058942451
"87",87,92649.3904677415,469.242815771993,94759.4761816473,-87878.1094651609
"88",88,94008.9479377091,471.249966824109,95307.9568772061,-89788.1547817393
"89",89,95585.3253421387,473.25125241781,95466.3768822528,-91524.9534768094
"90",90,96003.012478543,475.246466545065,95975.565216063,-92453.8241611511
"91",91,96224.4485996388,477.23540236436,96300.7201123508,-93002.404114354
"92",92,97340.4998211866,479.21785223982,97127.7532950469,-94947.4709684734
"93",93,91283.830642427,481.193607780629,97940.5307951529,-89705.5550453605
"94",94,94923.185679517,483.162459880807,98447.3461688418,-93853.6943082396
"95",95,91736.9215100575,485.124198759379,98772.9435406419,-90994.9892494587
"96",96,95258.869095559,487.078614000987,98843.2974179769,-94589.2451275369
"97",97,96861.7331623814,489.025494596952,99220.4553896026,-96571.214046581
"98",98,96680.5784850167,490.964628986822,99314.0205341657,-96485.5636481692
"99",99,92914.0090727684,492.895805100419,99509.8270847162,-92916.731962585
"100",100,92366.372536132,494.818810400388,100431.178257237,-93292.3696037691
"101",101,95357.71958136,496.733431925251,100642.254074765,-96496.7070880506
"102",102,98895.7258416932,498.639456332991,100684.171796302,-100078.537094328
"103",103,98928.1148350828,500.536669945132,101203.865951934,-100632.517456962
"104",104,97263.8393855704,502.424858791341,101568.274714525,-99334.5389588868
"105",105,97652.1573392886,504.303808654535,101870.621729501,-100027.082877444
"106",106,94758.9882281968,506.173305116485,101943.794748277,-97208.9562815906
"107",107,90782.8720870138,508.033133603913,102353.789890434,-93644.6951110518
"108",108,92865.4350110397,509.883079435072,102817.259255858,-96192.5773463326
"109",109,92054.784567185,511.7229278668,103142.486972969,-95708.9944680213
"110",110,90499.1292737701,513.552464142028,103494.758359437,-94507.4400973493
"111",111,91325.7593659146,515.371473537747,103783.153433122,-95624.2842725746
"112",112,89949.4215283365,517.179741413397,104318.315122705,-94784.9163924547
"113",113,91591.0328865272,518.977053259686,104621.332587103,-96731.3425268903
"114",114,92927.33564924,520.763194747811,105181.650440634,-98629.7492846223
"115",115,95247.5865875935,522.537951779068,105487.116661784,-101257.241201156
"116",116,95838.7087260656,524.301110534843,106176.796305618,-102539.806142219
"117",117,93057.7484632916,526.052457526949,106812.540366378,-100396.341287196
"118",118,91440.6342176657,527.791779648315,106959.314442067,-98927.7404393809
"119",119,88341.1910573258,529.518864223995,107404.172165895,-96274.8820874449
"120",120,92807.1395127658,531.233499062473,107978.907442208,-101317.280454036
"121",121,88708.6549900611,532.935472507269,108428.687388912,-97670.2778514808
"122",122,91740.9792229104,534.624573488803,108764.966861059,-101040.570657458
"123",123,89969.7542009181,536.300591576507,108932.293615314,-99438.3484078089
"124",124,87817.1108347465,537.963317031169,109318.891017517,-97673.9651692949
"125",125,88511.8705210022,539.612540857485,109789.788024373,-98841.271086233
"126",126,87318.6550738153,541.248054856794,110103.491667495,-97963.3947961674
"127",127,90729.4513017239,542.869651679986,110247.726361569,-101520.047314973
"128",128,92549.5555066696,544.477124880553,110716.631881142,-103810.664512692
"129",129,93287.7828812846,546.070268967762,111305.826623833,-105139.679774085
"130",130,93466.2000471098,547.648879459936,111470.480597801,-105484.329524371
"131",131,93454.7138643278,549.212752937811,111646.554585476,-105650.481202742
"132",132,93046.1682085861,550.761687097951,112043.848723085,-105640.778618769
"133",133,97450.4232901366,552.295480806204,112320.988730785,-110323.707501728
"134",134,92145.999048311,553.813934151165,112444.356614119,-105144.169596581
"135",135,92686.9177595035,555.316848497632,112775.969425785,-106018.204033786
"136",136,91917.1973537896,556.804026540027,113175.55463859,-105649.556018919
"137",137,93841.3416944417,558.275272355762,113095.021389785,-107494.638356582
"138",138,93242.6692773635,559.730391458525,113311.552391843,-107113.952060665
"139",139,88447.7488652007,561.169190851457,113762.913004123,-102771.831060175
"140",140,89417.1771176678,562.591479080209,114106.024836666,-104085.793433414
"141",141,90553.0224820138,563.997066285839,114565.479797324,-105682.499345623
"142",142,94165.0901328418,565.385764257537,114992.972901025,-109723.448798125
"143",143,92370.3361309499,566.757386485152,115238.265884722,-108175.359402158
"144",144,95212.2474774448,568.111748211485,115185.739348551,-110966.098574208
"145",145,94013.3361046803,569.448666484344,115197.187758355,-109779.97252952
"146",146,89110.7759473584,570.767960208314,115529.938253518,-105211.482161084
"147",147,90642.0529212612,572.06945019624,115852.310283598,-107066.432655055
"148",148,89249.3145438783,573.352959220378,116232.422523378,-106055.090026477
"149",149,85256.2935028514,574.618312063202,116356.248784679,-102187.160599594
"150",150,82581.8882206951,575.86533556784,116413.254661487,-99571.0082177502
