"","Day","S","E","I","R"
"117",117,97430.2942844997,526.052457526949,528597.359413813,-526553.70615584
"118",118,89646.7572978285,527.791779648315,529309.952272431,-519484.501349908
"119",119,74452.4973911937,529.518864223995,531513.054378376,-506495.070633793
"120",120,97086.1094558352,531.233499062473,534365.637557908,-531982.980512806
"121",121,76898.4626443613,532.935472507269,536593.539708462,-514024.937825331
"122",122,92365.7576314792,534.624573488803,538254.037416089,-531154.419621057
"123",123,83816.1962559567,536.300591576507,539069.871777336,-523422.36862487
"124",124,73360.4248469681,537.963317031169,540982.161936556,-514880.550100555
"125",125,77142.5420491353,539.612540857485,543316.054993882,-520998.209583875
"126",126,71485.6484810685,541.248054856794,544864.088424946,-516890.984960871
"127",127,88849.6696204596,542.869651679986,545564.88662121,-534957.425893349
"128",128,98261.0782997643,544.477124880553,547889.150773402,-546694.706198047
"129",129,102263.941693368,546.070268967762,550814.97518707,-553624.987149405
"130",130,103468.584009442,547.648879459936,551618.212219406,-555634.445108307
"131",131,103724.5305394,549.212752937811,552478.668097388,-556752.411389726
"132",132,101995.99154284,550.761687097951,554445.345814894,-556992.099044832
"133",133,124332.258844095,552.295480806204,555811.376282837,-580695.930607738
"134",134,98125.9228054883,553.813934151165,556408.671835942,-555088.408575582
"135",135,101147.08536817,555.316848497632,558047.320041022,-559749.722257689
"136",136,97615.8266361463,556.804026540027,560025.960561248,-558198.591223934
"137",137,107554.656274835,558.275272355762,559604.141377282,-567717.072924473
"138",138,104880.157009237,559.730391458525,560667.778340613,-566107.665741309
"139",139,81225.1627955255,561.169190851457,562905.70053135,-544692.032517727
"140",140,86392.6469737367,562.591479080209,564602.518276643,-551557.75672946
"141",141,92392.9417211916,563.997066285839,566881.193385803,-559838.13217328
"142",142,110775.062752712,565.385764257537,569000.203196063,-580340.651713033
"143",143,102123.780115975,566.757386485152,570208.35864676,-572898.89614922
"144",144,116656.518463251,568.111748211485,569927.564984599,-587152.195196062
"145",145,110985.82700731,569.448666484344,569966.796775699,-581522.072449493
"146",146,86797.5648781489,570.767960208314,571612.691944223,-558981.024782581
"147",147,94779.1510179216,572.06945019624,573206.849954969,-568558.070423087
"148",148,88141.3122853554,573.352959220378,575089.866388079,-563804.531632655
"149",149,68502.7012992939,574.618312063202,575691.612497534,-544768.932108891
"150",150,55457.7992636392,575.86533556784,575959.418436247,-531993.083035454
"151",151,52174.6556500225,577.093858688115,576578.614826855,-529330.364335566
"152",152,69785.7993976562,578.303712538155,577320.229828483,-547684.332938677
"153",153,88644.652510883,579.494730441576,579382.126334643,-568606.273575967
"154",154,83910.0688300619,580.666747980177,579562.897024372,-564053.632602414
"155",155,75470.6954651942,581.819603042154,581316.320797304,-557368.83586554
"156",156,75977.0366097933,582.953135869789,582966.441513522,-559526.431259185
"157",157,90069.7340025529,584.067189106603,584439.455971115,-575093.257162774
"158",158,89740.9828432001,585.161607843937,586656.925070422,-576983.069521466
"159",159,83143.6975305826,586.236239666952,586492.312211576,-570222.245981825
"160",160,87079.8600926428,587.290934700011,588494.327150674,-576161.478178017
"161",161,94228.8274292766,588.325545651424,589347.302752605,-584164.455727533
"162",162,99350.1448542267,589.339927857543,590321.864463584,-590261.349245668
"163",163,94475.8046429801,590.333939326168,593281.275840373,-588347.414422679
"164",164,84010.7607527167,591.30744077925,593784.168240739,-578386.236434235
"165",165,83650.5969377418,592.260295694876,594771.022323733,-579013.87955717
"166",166,90217.8945621403,593.192370348496,593664.14894448,-584475.235876969
"167",167,97443.039778246,594.103533853387,595252.136471297,-593289.279783396
"168",168,101231.708144291,594.99365820033,596823.077241586,-598649.779044077
"169",169,107760.168064833,595.862618296466,596741.697817671,-605097.7285008
"170",170,102930.714426983,596.710292003333,598360.162873117,-601887.587592103
"171",171,114916.719894236,597.536560174039,601053.995713142,-616568.252167551
"172",172,113607.625182508,598.341306689575,601183.125501692,-615389.09199089
"173",173,105989.517595429,599.12441849423,600942.537971565,-607531.179985489
"174",174,97840.2582593534,599.885785630102,602563.00519395,-601003.149238933
"175",175,88562.8119052745,600.625301270676,602774.159015469,-591937.596222014
"176",176,88776.9911129612,601.342861753463,604449.695767184,-593828.029741899
"177",177,95813.1664204007,602.038366611669,606453.987800823,-602869.192587835
"178",178,91219.307048262,602.711718604892,605853.465431485,-597675.484198352
"179",179,87108.5985054773,603.362823748818,607086.544859212,-594798.506188438
