"","Day","S","E","I","R"
"1",1,98437.7237832166,54.0929698531957,11520.037332613,-10011.8540856828
"2",2,100185.780549454,98.8607269122544,20455.99722893,-20740.638505296
"3",3,98529.2859354455,135.972147086667,28094.7628073361,-26760.0208898683
"4",4,99069.3029900368,166.797377356291,34237.6273630275,-33473.7277304206
"5",5,98908.0506131338,192.46136851962,39240.0970167973,-38340.6089984507
"6",6,98369.7237120152,213.887796862776,44108.045476334,-42691.656985212
"7",7,93600.6485809592,231.835105640126,47088.8312534687,-40921.314940068
"8",8,97902.3993962672,246.926083875368,50422.1375474335,-48571.4630275761
"9",9,100990.734588219,259.672143873313,52929.8190047644,-54180.2257368564
"10",10,94506.6246683175,270.493249346531,55108.2303938154,-49885.3483114794
"11",11,96695.0981266877,279.734274603687,56688.874074113,-53663.7064754044
"12",12,97398.769764043,287.678434837255,58320.4789375676,-56006.9271364478
"13",13,97728.2345325939,294.558312512803,59758.5432083812,-57781.3360534878
"14",14,100560.220923272,300.564910579462,61021.8547927465,-61882.6406265983
"15",15,100053.202384153,305.855085923298,61797.8915614409,-62156.9490315175
"16",16,96748.814246089,310.557653096054,63089.0955170913,-60148.4674162763
"17",17,98890.0493247436,314.778396357113,63778.214350107,-62983.0420712078
"18",18,97944.9087589211,318.604185410679,64371.7886153482,-62635.30155968
"19",19,96434.7380081736,322.106355220405,65385.0757991452,-62141.9201625392
"20",20,95919.812246639,325.34348156224,65700.9030370192,-61946.0587652205
"21",21,99848.4833983319,328.363660404457,66281.6156937366,-66458.4627524729
"22",22,98410.9470474586,331.206379856482,66814.0367941071,-65556.1902214222
"23",23,96817.9956454338,333.904057547056,67690.7199685096,-64842.6196714905
"24",24,95417.7113395709,336.48330325554,68623.2516510591,-64377.4462938855
"25",25,97620.4039732142,338.965955917704,68438.9504812851,-66398.320410417
"26",26,99668.4129354648,341.369935340831,68886.05610793,-68895.8389787357
"27",27,98961.066507813,343.709941749072,69561.2632342807,-68866.0396838428
"28",28,100005.118291509,345.998030356945,70257.7525307054,-70608.8688525713
"29",29,96065.3118821831,348.244083305703,70470.607109276,-66884.1630747648
"30",30,98021.7761355246,350.456197303984,71350.5767309911,-69722.8090638196
"31",31,97553.9128189969,352.641002035261,70930.7506411464,-68837.3044621787
"32",32,97741.8698045012,354.803921702086,71673.1681083749,-69769.8418345782
"33",33,98898.6971704736,356.949389866091,71993.6704132812,-71249.3169736209
"34",34,96685.7336957079,359.081025927104,72732.3949617977,-69777.2096834327
"35",35,99279.318211318,361.201780093683,73109.8147648428,-72750.3347562545
"36",36,100016.890387678,363.314052472927,73381.690953863,-73761.8953940136
"37",37,95043.9103033359,365.419790901854,74092.7257575018,-69502.0558517395
"38",38,97516.5331592151,367.520571316785,74297.0417179576,-72181.0954484895
"39",39,99173.9502683273,369.617663778981,75063.3728079015,-74606.9407400078
"40",40,94031.3640337006,371.712086717721,75372.9513059871,-69776.0274264054
"41",41,96995.3564357983,373.804651494548,75903.5783800864,-73272.7394673793
"42",42,98644.3417980541,375.89599901669,76201.7295320195,-75221.9673290903
"43",43,101343.79747302,377.986629819027,76396.1477878267,-78117.9318906661
"44",44,95671.7796023278,380.076928780539,77082.1882146714,-73134.0447457798
"45",45,99740.0960855835,382.167185432974,77599.9528216268,-77722.2160926433
"46",46,91427.9630075453,384.257610648451,78110.0675264529,-69922.2881446466
"47",47,97577.0041229455,386.348350352309,78437.481023635,-76400.8334969327
"48",48,99408.6114397074,388.439496792084,78421.7497516545,-78218.8006881539
"49",49,96441.1624995936,390.53109779877,78879.6458385959,-75711.3394359883
"50",50,96754.647211348,392.623164398654,79863.9253719362,-77011.1957476828
"51",51,98404.2641926417,394.715677070078,80302.9211251429,-79101.9009948547
"52",52,96742.6188937479,396.808590886958,80287.996999703,-77427.4244843379
"53",53,98591.136510901,398.901839747715,80911.3541801691,-79901.3925308178
"54",54,97856.9816668567,400.995339852864,81391.7305431784,-79649.7075498879
"55",55,98253.9151080931,403.088992565348,81734.0082454327,-80391.0123460912
"56",56,94578.2299989189,405.182686763809,82248.3233650955,-77231.7360507783
"57",57,93551.3143538064,407.276300779317,82785.6093878579,-76744.2000424436
"58",58,100027.14310689,409.369703989945,83317.901657433,-83754.4144683133
"59",59,98003.4427841533,411.4627581343,83042.1113593932,-81457.0169016808
"60",60,96984.9235306518,413.55531839423,83774.8812003526,-81173.3600493986
"61",61,101874.23578311,415.647234287977,84269.0910645115,-86558.9740819093
"62",62,97536.4532443244,417.738350407667,84703.8271331843,-82658.0187279164
"63",63,93853.156529276,419.828507029017,85032.0580469564,-79305.0430832614
"64",64,94452.5252588338,421.917540616144,85359.2644032126,-80233.7072026625
"65",65,97711.3284597665,424.005284240293,85945.128220743,-84080.4619647499
"66",66,97914.6851840055,426.091567927948,86457.0197941303,-84797.7965460637
"67",67,97298.9624817337,428.176218951028,86763.2839439041,-84490.4226445888
"68",68,97604.8597094524,430.259062069613,87501.950052606,-85537.068824128
"69",69,96520.5045700763,432.339919735783,87762.0640807284,-84714.9085705405
"70",70,94538.4484705493,434.418612265623,88431.6782292685,-83404.5453120834
"71",71,96918.2293540316,436.494957985182,88165.9366586005,-85520.6609706173
"72",72,93355.5916693387,438.568773355165,88534.0367877751,-82328.1972304689
"73",73,95316.7911762169,440.639873078261,89244.4412441057,-85001.8722934009
"74",74,91402.0870373802,442.708070192325,89511.9838542091,-81356.7789617816
"75",75,94895.2092214601,444.773176152072,90259.414380798,-85599.3967784102
"76",76,96523.5237984133,446.835000901436,90184.8429127135,-87155.2017120283
"77",77,95112.211111767,448.893352938399,90692.0578320843,-86253.1622967897
"78",78,92093.7686186222,450.948039373743,91530.1499002424,-84074.8665582384
"79",79,93301.447207539,452.998865984947,91733.080964197,-85487.5270377209
"80",80,95238.6402208548,455.045637266197,92074.743911043,-87768.429769164
