"","Day","S","E","I","R"
"1",1,99338.2927199367,54.0929698531957,3704.36386423987,-3096.74955402978
"2",2,98714.8741820614,98.8607269122544,5947.46159423601,-4761.19650320965
"3",3,98679.8653591605,135.972147086667,7801.44257182154,-6617.2800780687
"4",4,99233.5738262601,166.797377356291,9251.28276006123,-8651.65396367766
"5",5,99701.2322821481,192.46136851962,10565.1708317797,-10458.8644824474
"6",6,99585.0347838791,213.887796862776,11620.8483848709,-11419.7709656128
"7",7,99857.9022666983,231.835105640126,12519.7749056614,-12609.5122779998
"8",8,98894.1332932178,246.926083875368,13210.8971385413,-12351.9565156344
"9",9,98455.9553593541,259.672143873313,13923.6412909761,-12639.2687942035
"10",10,97484.8171736925,270.493249346531,14375.1990243302,-12130.5094473692
"11",11,98072.508432599,279.734274603687,14810.8343769613,-13163.077084164
"12",12,98729.9656134713,287.678434837255,15213.6545729897,-14231.2986212983
"13",13,98685.6362544733,294.558312512803,15551.255350861,-14531.4499178471
"14",14,98426.0827580734,300.564910579462,15763.8536384564,-14490.5013071093
"15",15,99171.1211478341,305.855085923298,16061.6319102388,-15538.6081439962
"16",16,98805.5121301047,310.557653096054,16294.2127996468,-15410.2825828476
"17",17,98775.2672423036,314.778396357113,16536.4669700711,-15626.5126087318
"18",18,98927.9465032475,318.604185410679,16628.6336683878,-15875.1843570459
"19",19,98565.2668663394,322.106355220405,16872.8267575491,-15760.1999791089
"20",20,98055.7158149822,325.34348156224,17162.6545518412,-15543.7138483857
"21",21,98611.7282196421,328.363660404457,17277.5448186101,-16217.6366986567
"22",22,98039.0980848753,331.206379856482,17328.5126293244,-15698.8170940562
"23",23,98495.0033667183,333.904057547056,17460.3293916567,-16289.236815922
"24",24,96742.3250543253,336.48330325554,17647.1532984506,-14725.9616560315
"25",25,96497.4924966004,338.965955917704,17793.5674044837,-14630.0258570017
"26",26,96849.5732824503,341.369935340831,17923.6227778186,-15114.5659956097
"27",27,97494.3199048496,343.709941749072,18060.0320450208,-15898.0618916195
"28",28,97341.8393199664,345.998030356945,18191.4855852571,-15879.3229355804
"29",29,98186.3047084817,348.244083305703,18372.21298289,-16906.7617746775
